time[ms],#packets last interval,#packets overall,overall avrg. packetsize [byte],overall sum packetsize [byte],overall thrp [Mb/s],thrp last interval [Mb/s]
1098500.0,0,168238,NaN,1.68043131E8,1.2238006809285389,NaN
1099000.0,0,168238,NaN,1.68043131E8,1.2232439017288443,NaN
1099500.0,0,168238,NaN,1.68043131E8,1.2226876289222373,NaN
1100000.0,0,168238,NaN,1.68043131E8,1.2221318618181818,NaN
1100500.0,0,168238,NaN,1.68043131E8,1.2215765997273966,NaN
1101000.0,0,168238,NaN,1.68043131E8,1.221021841961853,NaN
1101500.0,0,168238,NaN,1.68043131E8,1.2204675878347708,NaN
1102000.0,0,168238,NaN,1.68043131E8,1.219913836660617,NaN
1102500.0,0,168238,NaN,1.68043131E8,1.219360587755102,NaN
1103000.0,0,168238,NaN,1.68043131E8,1.2188078404351768,NaN
1103500.0,0,168238,NaN,1.68043131E8,1.2182555940190305,NaN
1104000.0,0,168238,NaN,1.68043131E8,1.2177038478260869,NaN
1104500.0,0,168238,NaN,1.68043131E8,1.2171526011770033,NaN
1105000.0,0,168238,NaN,1.68043131E8,1.2166018533936651,NaN
1105500.0,0,168238,NaN,1.68043131E8,1.216051603799186,NaN
1106000.0,0,168238,NaN,1.68043131E8,1.2155018517179024,NaN
1106500.0,0,168238,NaN,1.68043131E8,1.2149525964753727,NaN
1107000.0,0,168238,NaN,1.68043131E8,1.214403837398374,NaN
1107500.0,0,168238,NaN,1.68043131E8,1.2138555738148984,NaN
1108000.0,0,168238,NaN,1.68043131E8,1.2133078050541517,NaN
1108500.0,0,168238,NaN,1.68043131E8,1.2127605304465494,NaN
1109000.0,0,168238,NaN,1.68043131E8,1.212213749323715,NaN
1109500.0,0,168238,NaN,1.68043131E8,1.2116674610184768,NaN
1110000.0,0,168238,NaN,1.68043131E8,1.2111216648648648,NaN
1110500.0,0,168238,NaN,1.68043131E8,1.210576360198109,NaN
1111000.0,0,168238,NaN,1.68043131E8,1.2100315463546356,NaN
1111500.0,0,168238,NaN,1.68043131E8,1.2094872226720648,NaN
1112000.0,0,168238,NaN,1.68043131E8,1.2089433884892087,NaN
1112500.0,0,168238,NaN,1.68043131E8,1.2084000431460675,NaN
1113000.0,0,168238,NaN,1.68043131E8,1.2078571859838276,NaN
1113500.0,0,168238,NaN,1.68043131E8,1.2073148163448586,NaN
1114000.0,0,168238,NaN,1.68043131E8,1.2067729335727109,NaN
1114500.0,0,168238,NaN,1.68043131E8,1.206231537012113,NaN
1115000.0,0,168238,NaN,1.68043131E8,1.2056906260089686,NaN
1115500.0,0,168238,NaN,1.68043131E8,1.205150199910354,NaN
1116000.0,0,168238,NaN,1.68043131E8,1.2046102580645162,NaN
1116500.0,0,168238,NaN,1.68043131E8,1.2040707998208688,NaN
1117000.0,0,168238,NaN,1.68043131E8,1.203531824529991,NaN
1117500.0,0,168238,NaN,1.68043131E8,1.202993331543624,NaN
1118000.0,0,168238,NaN,1.68043131E8,1.202455320214669,NaN
1118500.0,0,168238,NaN,1.68043131E8,1.2019177898971836,NaN
1119000.0,0,168238,NaN,1.68043131E8,1.2013807399463807,NaN
